date,index,fluc,individual,foreigner,institution,financial investment,insurance,investment trust,other financial,bank,national?pension,private equity fund,nation,other corp
2018-01-18,2515.81 ,0.0002 ,915 ,934 ,-2234 ,-1326 ,-68 ,264 ,19 ,62 ,-256 ,-453 ,-475 ,370 
2018-01-17,2515.43 ,-0.0025 ,1733 ,658 ,-2883 ,-556 ,-179 ,-698 ,10 ,-67 ,-42 ,-1240 ,-111 ,469 
2018-01-16,2521.74 ,0.0072 ,-2777 ,2798 ,-249 ,-42 ,102 ,-39 ,46 ,-124 ,-356 ,573 ,-407 ,258 
2018-01-15,2503.73 ,0.0029 ,-698 ,243 ,146 ,67 ,12 ,302 ,129 ,-27 ,-734 ,178 ,219 ,308 
2018-01-12,2496.42 ,0.0034 ,-871 ,-1179 ,1646 ,959 ,-139 ,465 ,-51 ,-74 ,175 ,99 ,212 ,404 
2018-01-11,2487.91 ,-0.0047 ,3170 ,1743 ,-5447 ,-3107 ,550 ,-563 ,-1036 ,-109 ,-632 ,-22 ,-528 ,522 
2018-01-10,2499.75 ,-0.0042 ,1303 ,-2804 ,999 ,1379 ,-516 ,27 ,165 ,-42 ,-225 ,-61 ,273 ,493 
2018-01-09,2510.23 ,-0.0012 ,-2606 ,436 ,2121 ,1187 ,-74 ,-338 ,17 ,34 ,487 ,377 ,432 ,46 
2018-01-08,2513.28 ,0.0063 ,-3512 ,3911 ,-883 ,-841 ,46 ,-482 ,-90 ,-26 ,-118 ,699 ,-72 ,477 
2018-01-05,2497.52 ,0.0126 ,-3705 ,2466 ,1022 ,-1188 ,476 ,520 ,-7 ,53 ,512 ,177 ,480 ,226 
2018-01-04,2466.46 ,-0.0080 ,442 ,3396 ,-3843 ,-3617 ,65 ,196 ,56 ,-61 ,-134 ,-48 ,-300 ,43 
2018-01-03,2486.35 ,0.0027 ,-242 ,4006 ,-3980 ,-4629 ,271 ,471 ,-21 ,69 ,201 ,-126 ,-217 ,230 
2018-01-02,2479.65 ,0.0049 ,-267 ,2657 ,-2763 ,-1847 ,150 ,-341 ,72 ,-65 ,93 ,-405 ,-420 ,395 
2017-12-28,2467.49 ,0.0126 ,-2129 ,1793 ,305 ,-399 ,356 ,195 ,-21 ,-75 ,-30 ,252 ,27 ,25 
2017-12-27,2436.67 ,0.0038 ,4659 ,-1156 ,-3753 ,-1175 ,162 ,507 ,37 ,-103 ,-223 ,-281 ,-2676 ,187 
2017-12-26,2427.34 ,-0.0054 ,-8944 ,246 ,8726 ,6757 ,350 ,1495 ,-32 ,-145 ,-55 ,-98 ,454 ,61 
2017-12-22,2440.54 ,0.0044 ,-8491 ,1329 ,3881 ,2598 ,502 ,519 ,6 ,-101 ,37 ,-357 ,676 ,3296 
2017-12-21,2429.83 ,-0.0172 ,-84 ,-3281 ,3112 ,3600 ,-300 ,155 ,70 ,-267 ,461 ,-509 ,-98 ,246 
2017-12-20,2472.37 ,-0.0025 ,-3681 ,-3067 ,6179 ,5854 ,-374 ,-43 ,-9 ,-288 ,322 ,-156 ,874 ,581 
2017-12-19,2478.53 ,-0.0013 ,-3572 ,641 ,2846 ,2546 ,-7 ,316 ,-9 ,-582 ,173 ,114 ,295 ,88 
2017-12-18,2481.88 ,-0.0001 ,-1294 ,-1648 ,2653 ,2645 ,-49 ,77 ,11 ,-353 ,-98 ,134 ,286 ,317 
2017-12-15,2482.07 ,0.0051 ,-2570 ,-2022 ,4218 ,2952 ,320 ,-422 ,-8 ,-90 ,239 ,146 ,1081 ,373 
2017-12-14,2469.48 ,-0.0045 ,-3781 ,3815 ,-148 ,-1622 ,305 ,175 ,67 ,221 ,781 ,564 ,-639 ,80 
2017-12-13,2480.55 ,0.0079 ,-5119 ,-2049 ,6948 ,4522 ,121 ,463 ,-31 ,315 ,490 ,135 ,932 ,227 
2017-12-12,2461.00 ,-0.0042 ,1475 ,-2388 ,623 ,747 ,107 ,251 ,135 ,61 ,50 ,-47 ,-682 ,347 
